NIP;TIT;ANYCOM;ING_INGRESO;ING_NOTA;ING_CONV;ING_EST;ING_CUPO;CURSO_TITULADO;EDAD;SEXO;ESTUDIS_P;ESTUDIS_M;CRE_RECON_INI;NUMPRE
439444;156;2010;NAI;6,1;J;10;G;;19;V;5;5;6;8
466072;156;2010;NAP;6,02;S;10;G;;25;V;4;4;0;1
354734;156;2010;NAP;6,9;J;10;G;;22;V;5;5;0;1
460803;156;2010;NAP;6,833;J;11;G;2014;18;V;5;4;60;1
460956;156;2010;NSA;9,016;J;10;G;;17;V;4;4;;2
460850;156;2010;NAP;9,129;J;5;G;;22;V;5;4;12;1
460841;156;2010;NAP;6,1;J;10;G;2017;19;M;4;3;30;1
460994;156;2010;NAP;6,034;J;10;G;;19;V;4;3;42;1
460463;158;2010;NAP;9,618;J;10;G;2014;18;V;3;3;60;2
461028;156;2010;NAP;8,432;J;10;G;;18;V;3;3;48;1
461003;156;2010;NAP;10,02;J;10;G;2013;18;M;3;5;60;1
466589;156;2010;NLE;6,922;S;10;G;;17;V;4;4;30;1
460958;156;2010;NAP;5,88;J;10;G;;18;M;5;5;0;1
331928;156;2010;NAP;10,25;J;5;G;2014;24;V;5;5;60;1
460393;158;2010;NAP;10,056;J;10;G;2015;18;M;5;5;60;3
460362;158;2010;NAP;9,706;J;10;G;2015;17;V;4;4;60;1
460806;156;2010;NAP;6,472;J;10;G;;18;V;5;3;36;1
460996;156;2010;NAP;6,908;J;10;G;;18;V;3;4;42;4
460281;158;2010;NAP;10,306;J;10;G;2013;18;M;4;4;60;1
460998;156;2010;NAP;6,982;J;10;G;2016;18;V;3;3;48;1
446196;156;2010;NLE;5,2;J;10;G;;24;V;3;4;6;1
447674;156;2010;NLE;5,31;J;10;G;;18;V;3;5;30;1
460851;156;2010;NSA;7,08;J;5;G;;26;V;2;3;;1
439639;156;2010;NAP;7,416;J;5;G;;20;V;5;4;18;1
460823;156;2010;NSA;7,13;J;10;G;;17;V;5;5;;3
460829;156;2010;NAP;7,2;J;5;G;;35;V;3;3;60;1
460838;156;2010;NAP;9,456;J;10;G;2014;17;V;4;4;60;1
460839;156;2010;NAP;7,829;J;5;G;2015;22;M;4;3;60;1
460852;156;2010;NAP;9,39;J;10;G;;18;V;4;4;30;1
461145;156;2010;NAP;7,884;J;5;G;2014;22;V;3;3;42;1
461112;156;2010;NSA;7,524;J;10;G;;19;V;2;3;;2
470787;156;2010;NAP;5,954;J;10;G;;20;V;5;4;36;2
461064;156;2010;NAP;7,743;J;5;G;2014;23;V;4;3;60;1
378960;156;2010;NAP;10,4;J;5;G;2018;21;V;5;4;60;1
460984;156;2010;NSA;7,382;J;10;G;;18;V;5;5;;2
464465;158;2010;NLE;8,652;J;10;G;;18;V;4;4;24;1
460328;158;2010;NAP;11,644;J;10;G;2013;17;M;4;3;60;1
240763;156;2010;NAP;7,2;S;5;G;;29;V;2;5;0;1
460930;156;2010;NAP;8,225;J;5;G;;21;V;4;4;12;1
460991;156;2010;NAP;7,077;J;10;G;2014;18;V;3;4;24;1
460323;158;2010;NAP;11,024;J;10;G;2014;18;M;3;3;60;1
462233;156;2010;NLE;5,14;J;10;G;2015;21;V;2;2;30;2
292834;156;2010;NAP;6,7;J;10;G;2013;24;V;4;4;60,33;1
460315;158;2010;NAP;9,772;J;10;G;;18;V;4;4;0;1
466596;156;2010;NLE;8,574;S;10;G;;18;V;2;3;6;1
466191;156;2010;NLE;8,684;S;10;G;;19;V;4;4;0;1
466081;156;2010;NAP;9,217;S;5;G;;34;V;4;3;0;1
466091;156;2010;NAP;7,404;S;5;G;;23;V;3;3;0;1
466092;156;2010;NAP;7,05;S;5;G;;19;V;4;4;6;1
420500;156;2010;NAP;5,71;S;10;G;;19;V;3;3;30;1
460331;158;2010;NAP;10,067;J;10;G;;18;M;3;3;48;1
461085;156;2010;NAP;11,75;J;5;G;2013;25;V;4;5;60;1
296201;156;2010;NAP;8,84;J;10;G;2015;25;V;5;4;48;1
356919;156;2010;NAP;7;S;10;G;;21;V;4;3;30;1
461190;156;2010;NAP;9,33;J;5;G;2016;21;V;3;3;36;1
18903;158;2010;NLE;6,5;J;10;G;;36;V;3;5;48;2
460884;156;2010;NAP;6,53;J;10;G;2015;19;V;4;4;6;1
