NIP;TIT;CACA;TRABAJO_A;OBTIENE_BECA;ESTADO;CRE_MAT;CRE_SUP;CRE_SUS;CRE_NP;CRE_MAT_CN;CRE_SUP_CN;CRE_SUS_CN;CRE_NP_CN
504943;158;2012;;-;;25,5;25,5;0;0;25,5;25,5;0;0
504911;158;2012;;-;;25,5;19,5;6;0;25,5;19,5;6;0
504898;158;2012;;-;;28,5;19,5;0;9;28,5;19,5;0;9
504997;158;2012;;-;;15;0;9;6;15;0;9;6
505000;158;2012;;-;;15;15;0;0;15;15;0;0
504999;158;2012;;-;;27;22,5;0;4,5;27;22,5;0;4,5
504998;158;2012;;-;;27;16,5;6;4,5;27;16,5;6;4,5
504944;158;2012;;-;;25,5;9;16,5;0;25,5;9;16,5;0
505126;158;2012;;-;;27;16,5;0;10,5;27;16,5;0;10,5
505103;158;2012;;-;;37,5;33;4,5;0;37,5;33;4,5;0
505521;158;2012;;-;;22,5;22,5;0;0;22,5;22,5;0;0
505522;158;2012;;-;;28,5;28,5;0;0;28,5;28,5;0;0
505022;158;2012;;-;;18;4,5;9;4,5;18;4,5;9;4,5
484783;156;2012;0;S;;60;48;12;0;60;48;12;0
552716;158;2015;0;-;;60;24;36;0;60;24;36;0
552591;182;2015;0;S;;72;66;6;0;72;66;6;0
552285;156;2015;3;S;;60;60;0;0;60;60;0;0
554979;156;2015;3;S;;60;36;24;0;60;36;24;0
552710;158;2015;3;S;;60;60;0;0;60;60;0;0
458416;156;2015;3;N;;42;42;0;0;42;42;0;0
554934;156;2015;0;-;;61;1;42;18;61;1;42;18
554939;156;2015;0;S;;60;12;48;0;60;12;48;0
552363;156;2015;0;S;;60;54;6;0;60;54;6;0
552702;158;2015;2;S;;60;60;0;0;60;60;0;0
552410;156;2015;1;S;;61;13;48;0;61;13;48;0
516004;156;2015;2;S;;60;60;0;0;60;60;0;0
552356;156;2015;4;S;;60;60;0;0;60;60;0;0
552381;156;2015;1;-;;60;60;0;0;60;60;0;0
552263;156;2015;3;S;;60;54;6;0;60;54;6;0
552264;156;2015;2;N;;60;60;0;0;60;60;0;0
552764;158;2015;3;S;;60;6;48;6;60;6;48;6
552311;156;2015;3;S;;60;60;0;0;60;60;0;0
552722;158;2015;1;N;;60;30;30;0;60;30;30;0
552406;156;2015;0;S;;60;48;12;0;60;48;12;0
552444;156;2015;0;-;;54;6;30;18;54;6;30;18
552237;156;2015;3;N;;60;60;0;0;60;60;0;0
552639;158;2015;0;-;;60;54;6;0;60;54;6;0
554935;156;2015;0;N;;60;42;12;6;60;42;12;6
552251;156;2015;0;-;;54;54;0;0;54;54;0;0
552724;158;2015;0;S;;54;54;0;0;54;54;0;0
552275;156;2015;3;S;;48;48;0;0;48;48;0;0
552454;156;2015;0;S;;60;60;0;0;60;60;0;0
533813;156;2015;0;S;;60;48;12;0;60;48;12;0
552627;158;2015;0;S;;60;60;0;0;60;60;0;0
552520;156;2015;0;S;;60;60;0;0;60;60;0;0
552354;156;2015;0;N;;48;48;0;0;48;48;0;0
552214;156;2015;0;S;;60;60;0;0;60;60;0;0
552760;158;2015;4;S;;54;54;0;0;54;54;0;0
552790;158;2015;0;-;;60;54;6;0;60;54;6;0
554968;156;2015;3;N;;60;24;36;0;60;24;36;0
529354;182;2015;1;N;;72;18;54;0;72;18;54;0
552732;158;2015;0;S;;60;30;30;0;60;30;30;0
552372;156;2015;0;N;;60;60;0;0;60;60;0;0
552431;156;2015;0;-;;61;1;60;0;61;1;60;0
532901;156;2015;3;N;;46,5;46,5;0;0;46,5;46,5;0;0
552306;156;2015;0;-;;60;60;0;0;60;60;0;0
